id,timestamp,email,fullname,firstname,surname,teachers
1,10:22:46 AM,richmond.lorena@madisonps.org,Mrs. Richmond,Lorena,Richmond,Mr. Patrick|Mrs. Conley|Mr. Dalton|Mr. Chavez|Mr. Chavez
2,10:02:30 AM,kemp.kael@madisonps.org,Mrs. Kemp,Kael,Kemp,Mrs. Figueroa|Mrs. Oliver|Mr. Lawson
3,7:43:00 PM,oliver.aliza@madisonps.org,Mrs. Oliver,Aliza,Oliver,Mrs. Kemp|Mr. Dalton|Mrs. Figueroa|Mrs. Richmond|Mrs. Richmond
4,2:11:33 AM,lam.marely@madisonps.org,Mr. Lam,Marely,Lam,Mrs. Costa|Mr. Chavez|Mrs. Conley
5,8:20:49 AM,conley.tripp@madisonps.org,Mrs. Conley,Tripp,Conley,Mr. Terrell|Mrs. Young|Mrs. Mosley|Mrs. Figueroa|Mrs. Huffman
6,1:43:34 PM,huffman.kyle@madisonps.org,Mrs. Huffman,Kyle,Huffman,Mrs. Oliver|Mrs. Huffman|Mrs. Bentley
7,4:13:26 AM,chavez.soren@madisonps.org,Mr. Chavez,Soren,Chavez,Mr. Pugh
8,9:58:29 AM,pugh.braylon@madisonps.org,Mr. Pugh,Braylon,Pugh,Mr. Pugh|Mr. Dalton|Mrs. Hammond
9,11:48:48 PM,figueroa.slade@madisonps.org,Mrs. Figueroa,Slade,Figueroa,Mr. Patrick
10,11:26:00 AM,mosley.sasha@madisonps.org,Mrs. Mosley,Sasha,Mosley,Mr. Chavez|Mrs. Oliver|Mrs. Gibson
11,9:14:10 AM,bentley.krista@madisonps.org,Mrs. Bentley,Krista,Bentley,Mr. Walton|Mrs. Gibson|Mr. Terrell|Mrs. Conley|Mrs. Costa
12,12:15:35 AM,dalton.lorelei@madisonps.org,Mr. Dalton,Lorelei,Dalton,Mr. Patrick|Mr. Chavez|Mrs. Parsons
13,2:23:44 PM,suarez.nathanial@madisonps.org,Mrs. Suarez,Nathanial,Suarez,Mr. Dalton|Mrs. Figueroa|Mrs. Carey|Mrs. Hammond|Mrs. Kemp
