id,timestamp,email,fullname,firstname,surname,teachers
1,3:52:16 AM,richmond.lorena@madisonps.org,Mr. Richmond,Lorena,Richmond,Mr. Costa|Mrs. Solomon|Mrs. Wall|Mrs. Solomon|Mr. Livingston
2,8:17:19 AM,kemp.kael@madisonps.org,Mr. Kemp,Kael,Kemp,Mrs. Lam
3,10:29:49 AM,oliver.aliza@madisonps.org,Mrs. Oliver,Aliza,Oliver,Mrs. Oliver|Mr. Suarez
4,3:59:07 PM,lam.marely@madisonps.org,Mrs. Lam,Marely,Lam,Mr. Figueroa|Mr. Mcguire|Mrs. Blackburn|Mr. Kemp|Mrs. Wade
5,4:26:16 AM,conley.tripp@madisonps.org,Mrs. Conley,Tripp,Conley,Mrs. Francis|Mr. Gillespie|Mrs. Mosley
6,6:01:07 AM,huffman.kyle@madisonps.org,Mr. Huffman,Kyle,Huffman,Mrs. Solomon|Mr. Collins|Mrs. Savage|Mr. Rose
7,8:36:43 AM,chavez.soren@madisonps.org,Mrs. Chavez,Soren,Chavez,Mrs. Kane|Mrs. Wood|Mr. Morrow
8,11:12:42 AM,pugh.braylon@madisonps.org,Mrs. Pugh,Braylon,Pugh,Mr. Dalton|Mrs. Francis|Mr. Patrick|Mrs. Costa|Mrs. Huynh
9,8:10:04 PM,figueroa.slade@madisonps.org,Mr. Figueroa,Slade,Figueroa,Mrs. Holt|Mr. Cabrera|Mrs. Pollard|Mr. Kemp|Mr. Collins
10,12:57:28 PM,mosley.sasha@madisonps.org,Mrs. Mosley,Sasha,Mosley,Mrs. Hunt|Mrs. Francis|Mr. Reed|Mr. Richmond|Mrs. Lawson
11,10:47:52 PM,bentley.krista@madisonps.org,Mrs. Bentley,Krista,Bentley,Mr. Lowe|Mr. Suarez|Mrs. Chandler|Mr. Miles|Mr. Cabrera
12,1:37:54 AM,dalton.lorelei@madisonps.org,Mr. Dalton,Lorelei,Dalton,Mrs. Wade
13,4:03:23 AM,suarez.nathanial@madisonps.org,Mr. Suarez,Nathanial,Suarez,Mr. Suarez|Mrs. Strong
14,3:59:21 AM,young.natalia@madisonps.org,Mr. Young,Natalia,Young,Mrs. Pugh|Mr. Floyd|Mrs. Parsons|Mr. Schaefer|Mr. Richmond
15,7:03:33 AM,livingston.stanley@madisonps.org,Mr. Livingston,Stanley,Livingston,Mrs. Blackburn|Mr. Montoya|Mr. Cabrera
16,2:33:22 AM,costa.kaiya@madisonps.org,Mrs. Costa,Kaiya,Costa,Mr. Cabrera|Mr. Suarez|Mrs. Strong|Mrs. Drake
17,10:54:38 AM,terrell.esmeralda@madisonps.org,Mr. Terrell,Esmeralda,Terrell,Mr. Braun|Mrs. Hunt|Mr. Floyd
18,7:18:42 PM,hammond.sammy@madisonps.org,Mrs. Hammond,Sammy,Hammond,Mr. Thompson|Mr. Campbell|Mr. Reed|Mrs. Chavez|Mr. Mcfarland
19,11:03:04 AM,parsons.izayah@madisonps.org,Mrs. Parsons,Izayah,Parsons,Mr. Caldwell|Mr. Mcfarland|Mrs. Schaefer|Mrs. Francis|Mr. Vazquez
20,12:59:01 AM,patrick.deshawn@madisonps.org,Mr. Patrick,Deshawn,Patrick,Mr. Figueroa|Mr. Cook|Mrs. Wade|Mr. Merritt|Mrs. Harvey
21,7:26:04 PM,walton.desirae@madisonps.org,Mrs. Walton,Desirae,Walton,Mr. Richmond|Mrs. Savage|Mrs. Chavez|Mrs. Lam|Mr. Costa
22,6:50:48 AM,carey.angelo@madisonps.org,Mr. Carey,Angelo,Carey,Mr. Cabrera
23,10:06:12 PM,lawson.tanner@madisonps.org,Mrs. Lawson,Tanner,Lawson,Mrs. Strong|Mrs. Marquez
24,2:58:18 AM,gibson.norah@madisonps.org,Mr. Gibson,Norah,Gibson,Mrs. Huynh|Mr. Collins|Mrs. Hammond|Mr. Farmer|Mr. Terrell
25,3:55:54 AM,maddox.makenna@madisonps.org,Mrs. Maddox,Makenna,Maddox,Mr. Montoya|Mrs. Velez|Mr. Morrow
26,8:59:36 PM,lucero.violet@madisonps.org,Mr. Lucero,Violet,Lucero,Mr. Marshall|Mrs. Costa|Mrs. Ferrell|Mrs. Savage
27,6:05:35 PM,cabrera.jocelynn@madisonps.org,Mr. Cabrera,Jocelynn,Cabrera,Mrs. Blackburn|Mr. Suarez|Mr. Campbell
28,11:24:57 PM,hester.emery@madisonps.org,Mr. Hester,Emery,Hester,Mr. Edwards|Mrs. Bentley|Mrs. Wade|Mr. Gillespie|Mr. Montoya
29,3:17:59 AM,blackburn.sidney@madisonps.org,Mrs. Blackburn,Sidney,Blackburn,Mrs. Francis|Mr. Suarez|Mrs. Wade|Mrs. Lam|Mrs. Drake
30,6:31:49 PM,gutierrez.elliana@madisonps.org,Mrs. Gutierrez,Elliana,Gutierrez,Mrs. Velez|Mrs. Hickman|Mrs. Strong|Mr. Lowe|Mrs. Francis
31,5:12:24 PM,velez.annika@madisonps.org,Mrs. Velez,Annika,Velez,Mrs. Huynh|Mr. Patrick|Mrs. Chang|Mrs. Holt|Mr. Terrell
32,6:21:23 PM,roberts.augustus@madisonps.org,Mr. Roberts,Augustus,Roberts,Mrs. Huynh
33,1:39:23 AM,reid.alexzander@madisonps.org,Mrs. Reid,Alexzander,Reid,Mr. Marshall|Mr. Miles
34,4:27:17 PM,nixon.brooklynn@madisonps.org,Mrs. Nixon,Brooklynn,Nixon,Mr. Figueroa|Mr. Farmer|Mrs. Hammond|Mrs. Hahn|Mrs. Ferrell
35,5:57:42 PM,chandler.richard@madisonps.org,Mrs. Chandler,Richard,Chandler,Mrs. Sanchez|Mrs. Gutierrez|Mr. Edwards
36,12:37:19 PM,mcmillan.damien@madisonps.org,Mrs. Mcmillan,Damien,Mcmillan,Mrs. Harvey|Mrs. Strong|Mr. Patrick|Mrs. Reid
37,9:03:08 PM,cook.aarav@madisonps.org,Mr. Cook,Aarav,Cook,Mr. Miles|Mr. Kemp|Mrs. Kane
38,1:57:36 PM,huynh.kai@madisonps.org,Mrs. Huynh,Kai,Huynh,Mr. Young|Mrs. Hunt|Mr. Cook|Mr. Schaefer|Mrs. Strong
39,5:12:27 PM,wood.bryson@madisonps.org,Mrs. Wood,Bryson,Wood,Mrs. Blackburn|Mrs. Flynn|Mr. Campbell|Mrs. Nixon|Mrs. Harvey
40,11:58:59 AM,marshall.khloe@madisonps.org,Mr. Marshall,Khloe,Marshall,Mr. Gibson|Mr. Willis|Mrs. Hahn|Mr. Cabrera|Mr. Morrow
41,2:46:27 PM,schaefer.devyn@madisonps.org,Mr. Schaefer,Devyn,Schaefer,Mrs. Reid|Mrs. Costa|Mrs. Velez|Mrs. Ferrell|Mr. Livingston
42,11:09:50 AM,wade.logan@madisonps.org,Mrs. Wade,Logan,Wade,Mr. Terrell
43,5:24:57 AM,lowe.giovanny@madisonps.org,Mr. Lowe,Giovanny,Lowe,Mrs. Velez|Mr. Campbell
