id,timestamp,email,fullname,firstname,surname,friends,teachers
1,12:08:28 PM,krueger.deja@madisonps.org,Deja Krueger,Deja,Krueger,Roger Giles|Isla Pope|Sherlyn Tran|Tatum Gentry|Abel Jacobs,Mr. Dalton|Mr. Richmond|Mr. Edwards
2,9:23:34 AM,herring.elise@madisonps.org,Elise Herring,Elise,Herring,Nikolai Oconnor,Mrs. Schaefer|Mr. Campbell|Mrs. Strong|Mr. Figueroa
3,8:47:59 AM,sellers.nickolas@madisonps.org,Nickolas Sellers,Nickolas,Sellers,Ingrid Cantu|Taylor Schwartz,Mrs. Maddox|Mrs. Strong|Mrs. Lam
4,2:05:09 AM,trujillo.ariana@madisonps.org,Ariana Trujillo,Ariana,Trujillo,Elian Ryan|Sage Ellis|Atticus Lee|Serena Mullins|Halle Green,Mr. Mcfarland|Mr. Collins|Mrs. Maddox|Mrs. Lam|Mrs. Chang
5,3:56:09 PM,hanson.ann@madisonps.org,Ann Hanson,Ann,Hanson,,Mr. Webb|Mr. Reed|Mrs. Hickman|Mr. Reed|Mrs. Walton
6,8:37:22 AM,hunt.thalia@madisonps.org,Thalia Hunt,Thalia,Hunt,Josiah Allen|Amare Weiss|Damon Graham,Mr. Gentry|Mrs. Costa|Mr. Vazquez|Mr. Gillespie|Mr. Reed
7,4:54:44 AM,wiley.marley@madisonps.org,Marley Wiley,Marley,Wiley,Faith Stokes|Elian Ryan|Savanna Lawson|Noah Taylor,Mrs. Wade
8,9:06:31 AM,lowe.peyton@madisonps.org,Peyton Lowe,Peyton,Lowe,Danika Gray|Gia Love|Hazel Morrison|Reid Mueller|Reece Morgan,Mrs. Flynn|Mrs. Velez
9,9:23:01 AM,glenn.charlie@madisonps.org,Charlie Glenn,Charlie,Glenn,Billy Choi|Nickolas Mays|Isla Pope|Tripp Bradford|Dulce Osborn,Mrs. Hickman|Mrs. Nixon|Mrs. Lucas|Mr. Braun|Mrs. Wood
10,12:31:34 AM,bonilla.tianna@madisonps.org,Tianna Bonilla,Tianna,Bonilla,Jamie Thornton|Marco Fry|Allie Hall|Zion Bird|Kylan Wells,Mrs. Hammond|Mr. Lowe|Mrs. Luna
11,2:52:02 PM,shannon.marie@madisonps.org,Marie Shannon,Marie,Shannon,Gia Love|Keyon Chen|Jovanni Abbott|Finnegan Small|Yasmin Burgess,Mrs. Flynn|Mr. Floyd|Mrs. Rollins|Mr. Willis
12,11:56:14 AM,wells.cole@madisonps.org,Cole Wells,Cole,Wells,Lydia Owens,Mr. Braun|Mrs. Strong|Mrs. Maddox
13,3:45:52 AM,lester.lyric@madisonps.org,Lyric Lester,Lyric,Lester,Keagan Daugherty|Michaela Gibbs,Mr. Huffman|Mr. Vazquez|Mrs. Wood
14,11:13:03 PM,navarro.mia@madisonps.org,Mia Navarro,Mia,Navarro,Ross Oliver|Esperanza Velasquez|Jameson Beasley|Kamora Perez|Keyla Hopkins,Mrs. Luna|Mrs. Schaefer|Mrs. Strong|Mr. Huffman
15,5:44:35 AM,whitaker.frida@madisonps.org,Frida Whitaker,Frida,Whitaker,Kaiden Erickson|Ryan Solomon|Zaiden Chang|Aracely Branch|Charles Morrow,Mrs. Lam|Mrs. Savage|Mrs. Holt
16,1:02:13 PM,bernard.carmelo@madisonps.org,Carmelo Bernard,Carmelo,Bernard,Samara Schmitt|Harley Johns|Danny Bonilla,Mrs. Braun|Mr. Miles|Mrs. Velez|Mr. Braun|Mrs. Ferrell
17,11:21:47 AM,summers.vaughn@madisonps.org,Vaughn Summers,Vaughn,Summers,Justin Jacobs|Brennen Cannon|Ali Pearson|Anika Rojas,Mr. Gentry|Mr. Roberts|Mr. Patrick|Mr. Mcfarland|Mrs. Flynn
18,7:08:37 AM,hall.kane@madisonps.org,Kane Hall,Kane,Hall,Jamal Johnston|Alexis Salazar|Jason Choi|Yasmin Burgess|Chaim Terry,Mrs. Hahn|Mrs. Hahn|Mrs. Holt|Mrs. Braun|Mrs. Chang
19,5:47:20 AM,mccarthy.vance@madisonps.org,Vance Mccarthy,Vance,Mccarthy,Romeo Carrillo|Jayvon Mcgrath|Zachery Mathews|Abby Blackburn|Cynthia Porter,Mrs. Chang
20,11:19:30 AM,montoya.steven@madisonps.org,Steven Montoya,Steven,Montoya,Matilda Hickman|Elsa Stewart|Cynthia Porter|Shawn Nguyen|Damarion Craig,Mrs. Lucas|Mrs. Sanchez
21,5:32:11 PM,brandt.deanna@madisonps.org,Deanna Brandt,Deanna,Brandt,Brooks Ford|Peyton Snyder|Jane Logan|Caitlyn Raymond|Carson Walker,Mr. Gonzales|Mr. Costa|Mr. Cook|Mr. Caldwell|Mr. Frazier
22,12:14:52 PM,hamilton.ethen@madisonps.org,Ethen Hamilton,Ethen,Hamilton,Seth Woods,Mr. Farmer|Mr. Richmond|Mr. King
